Artist Name,Genres,Popularity,Followers Count
Roshan Gurung,,3,67
Bharati Upadhya,classic nepali pop,3,710
Mahesh Budathoki,"classic nepali pop, lok dohori",7,564
Ujjwal Saagar,,7,454
Prem Rana Autari,classic nepali pop,1,143
Rajan Rai,,4,34
Jiten Rai,classic nepali pop,4,435
Sujita Yonjan,,13,547
Rajesh Nepali,nepali indie,2,3265
Roj Moktan,,12,214
Ashok Pandey,,1,33
Raman Maharjan,,3,41
Alish Nepking,,6,161
Sita Thapa,,5,23
Aastha Raut,,7,156
Amrita Nepali,,1,14
Bekcha,,11,286
Indira Gurung,,8,73
Aman Karna,,8,439
Prakash Timilsina,,4,45
XiuMin Tamang,,2,18
Bharat Deurali,,5,3
Babin Pradhan,classic nepali pop,5,401
KAUSO,,15,5635
Pramod Nirwan,,3,191
Rajani Rimal,,6,43
Budha Subba,,12,25
Diandra,,4,1
Suraj Adhikari,,7,47
Laxmi Nepali,,1,34
Sachin Singh,,3,12
Tilok Newar,,10,155
Prakash Tamang Titung,,6,100
Manose Singh,,2,302
Tsujil Karmacharya,"classic nepali pop, nepali pop",4,297
Janardan Sama,,6,1
Santosh Shrestha,,6,25
Kranti Ale,,3,125
Manisha Pokhrel,,5,26
Pavitra Karkidoli,,4,0
Shakti Ballav,,2,17
Yubraj Chaulagain,nepali pop,6,168
Sarita Lama,,3,6
Kiran Waiba,,6,160
RK Gurung Official,,11,119
Naren Limbu,nepali pop,7,735
Greeshma Siwakoti,,7,0
SAGEnomore,,6,681
Sunil Nepali,,3,15
Thujey Ngetup,,2,7
Anju Panta,,4,37
Nirala Tamang,,5,48
Manila Sotang,classic nepali pop,5,663
Fatteman Rajbhandari,,4,33
Narmata Bal,,7,2
Sashikala Moktan,,10,27
Situsit,,10,256
Ramesh Prasain,,8,262
Krishna Man Dangol,,3,248
Baasuri Films,,6,130
Aaditya Narayan Jha,,3,10
TM Music,,6,47
Tshering Lhamu Tsumpa,,3,1
Kculture,,7,24
Satya Kala Rai,,3,6
Ná,,1,18
Chetan Sapkota,,4,128
Hari Lamsal,,8,19
Jhilkey And The Company,nepali rock,9,1299
Monish Niroula,,7,62
Deepak Sharma,,3,100
Chandra Kumar Dong,,7,473
Nango Manchay,,6,780
Baba Basnet,,3,2
Roshan Singh,,3,331
Aanbhi Production,,4,20
Arjun Kaushal,,9,111
Sashan Kandel,,5,142
Nirmala Bhandari,,8,41
Uday Raj Poudel,nepali indie,5,90
Dr Pilots,,4,186
